career_id,career_name,career_domain,career_subdomain,career_cluster,required_mathematical_ability,required_logical_reasoning,required_scientific_thinking,required_problem_solving,required_analytical_thinking,required_communication,required_creativity,required_digital_ability,required_spatial_ability,required_practical_ability,required_learning_ability,required_technology_interest,required_engineering_interest,required_healthcare_interest,required_business_interest,required_finance_interest,required_arts_interest,required_design_interest,required_research_interest,required_environment_interest,required_agriculture_interest,minimum_education_level
CAR00001,Software Developer,Technology,Track 1,Cluster 1,23.0,79.0,24.0,49.0,19.0,57.0,51.0,67.0,45.0,92.0,41.0,73.0,56.0,92.0,62.0,69.0,22.0,27.0,79.0,89.0,51.0,Postgraduate
CAR00002,Data Scientist,Engineering,Track 2,Cluster 2,39.0,50.0,36.0,36.0,91.0,88.0,46.0,40.0,42.0,36.0,52.0,82.0,47.0,77.0,25.0,86.0,15.0,51.0,24.0,89.0,53.0,Professional Degree
CAR00003,AI Engineer,Healthcare,Track 3,Cluster 3,35.0,46.0,59.0,33.0,20.0,20.0,35.0,69.0,23.0,26.0,91.0,44.0,24.0,78.0,48.0,18.0,66.0,74.0,33.0,95.0,64.0,Professional Degree
CAR00004,Machine Learning Engineer,Life Sciences,Track 4,Cluster 4,91.0,95.0,83.0,92.0,36.0,61.0,69.0,29.0,57.0,56.0,66.0,71.0,72.0,86.0,88.0,15.0,57.0,71.0,60.0,60.0,25.0,Higher Secondary
CAR00005,Cybersecurity Analyst,Agriculture,Track 5,Cluster 5,,92.0,50.0,60.0,51.0,58.0,46.0,47.0,76.0,68.0,35.0,84.0,17.0,45.0,61.0,33.0,40.0,25.0,68.0,72.0,16.0,Secondary
CAR00006,Cloud Engineer,Environment,Track 6,Cluster 6,54.0,22.0,79.0,93.0,55.0,55.0,58.0,78.0,31.0,78.0,50.0,62.0,86.0,50.0,71.0,85.0,15.0,68.0,18.0,95.0,42.0,Postgraduate
CAR00007,Database Administrator,Architecture & Construction,Track 7,Cluster 7,68.0,32.0,22.0,62.0,89.0,88.0,24.0,35.0,,83.0,70.0,56.0,87.0,70.0,72.0,63.0,75.0,84.0,53.0,57.0,85.0,Secondary
CAR00008,Web Developer,Manufacturing,Track 8,Cluster 8,73.0,23.0,78.0,59.0,62.0,37.0,83.0,42.0,49.0,40.0,38.0,37.0,,91.0,93.0,84.0,71.0,26.0,68.0,66.0,95.0,Higher Secondary
CAR00009,Mobile App Developer,Energy, Track 9 ,Cluster 9,36.0,42.0,16.0,35.0,86.0,48.0,22.0,26.0,24.0,38.0,25.0,90.0,27.0,63.0,32.0,39.0,58.0,27.0,64.0,17.0,79.0,Diploma
CAR00010,Network Engineer,Transportation,Track 10,Cluster 10,50.0,24.0,94.0,91.0,56.0,72.0,57.0,43.0,88.0,46.0,51.0,43.0,32.0,73.0,58.0,29.0,33.0,80.0,61.0,74.0,17.0,Secondary
