student_id,career_id,career_name,career_domain,career_subdomain,career_cluster,age,class,stream,ability_match_component,interest_match_component,academic_match_component,learning_match_component,compatibility_score,compatibility_label
STU017566,CAR00362,Economist Specialist 362,Aviation,Track 2,CLUSTER 2,14,9,General,67.61,67.96,88.5,57.9,71.03,1
STU030806,CAR00834,Auditor Specialist 834,Sports,Track 4,Cluster 24,15,11,Science-PCB,62.44,76.75,15.8,40.9,54.54,0
STU023311,CAR00597,Auditor Specialist 597,Healthcare,Track 7,Cluster 27,13,7,General,72.17,76.53,46.3,83.6,71.18,1
STU012188,CAR00041,Oceanographer,Finance,Track 1,Cluster 11,14,8,General,75.3,69.27,71.0,76.9,72.81,1
STU007853,CAR00560,Database Administrator Specialist 560,Media & Communication,Track 10,Cluster 20,15,10,General,71.36,75.57,57.6,96.0,70.5,1
STU016050,CAR00425,Geneticist Specialist 425,Media & Communication,Track 5,Cluster 5,17,11,Science-PCB,69.85,71.28,64.6,65.5,66.75,0
STU010643,CAR00791,Software Developer Specialist 791,Manufacturing,Track 1,Cluster 11,17,11,Science-PCB,79.01,81.41,71.0,64.1,78.78,1
STU020943,CAR00162,Machine Learning Engineer Specialist 162,Research,Track 2,Cluster 12,18,12,Humanities,72.97,74.04,62.7,74.9,78.31,1
STU005430,CAR00138,Defence Officer Specialist 138,Healthcare,Track 8,Cluster 18,14,10,General,75.5,74.77,55.2,92.4,75.85,1
STU000343,CAR01176,Hotel Manager Specialist 1176,Law,Track 6,Cluster 6,18,11,Commerce,69.01,74.31,74.5,90.8,73.0,1
STU006076,CAR01005,Civil Services Officer Specialist 1005,Environment,Track 5,Cluster 15,16,10,General,66.06,65.15,60.7,51.6,63.15,0
STU024328,CAR01080,Education Consultant Specialist 1080,Research,Track 10,Cluster 30,19,12,Commerce,63.88,74.83,64.2,88.4,72.51,1
STU016926,CAR00450,Counsellor Specialist 450,Government & Public Service,Track 10,Cluster 30,17,12,Commerce,67.45,77.5,82.5,94.2,70.85,1
STU020604,CAR01051,Physiotherapist Specialist 1051,Logistics & Supply Chain,Track 1,Cluster 1,19,12,Commerce,77.36,84.07,70.4,55.5,71.19,1
STU011650,CAR00062,Content Creator,Manufacturing,Track 2,Cluster 2,17,12,Science-PCM,78.58,77.36,59.7,73.6,72.33,1
STU022194,CAR00989,Oceanographer Specialist 989,Psychology & Social Services,Track 9,CLUSTER 29,13,7,General,77.03,75.88,52.8,66.5,82.62,1
STU026012,CAR01189,Machine Learning Engineer Specialist 1189,Technology,Track 9,Cluster 19,12,8,General,65.36,69.99,85.3,78.7,72.58,1
STU010916,CAR00278,Oceanographer Specialist 278,Manufacturing,Track 8,Cluster 8,18,12,Science-PCM,72.3,66.08,79.8,79.0,73.2,1
STU002906,CAR00516,Accountant Specialist 516,Healthcare,Track 6,Cluster 6,14,10,General,87.54,74.32,61.0,80.3,83.18,1
STU004147,CAR00406,Data Analyst Specialist 406,Technology,TRACK 6,Cluster 16,11,7,General,63.36,77.08,70.4,63.6,68.21,0
STU019668,CAR01058,Agricultural Scientist Specialist 1058,Agriculture,Track 8,Cluster 8,14,8,General,60.94,69.55,77.2,78.4,62.42,0
STU030920,CAR00564,Data Analyst Specialist 564,Sports,Track 4,Cluster 24,17,12,Humanities,83.12,72.02,79.1,48.4,77.87,1
STU020071,CAR00033,Forestry Specialist,Environment,Track 3,CLUSTER 3,14,8,General,80.0,84.89,82.7,84.9,83.41,1
STU006488,CAR00026,Dentist,Skilled Trades,Track 6,Cluster 26,16,10,General,64.97,75.46,84.6,81.8,76.56,1
STU032109,CAR00138,Defence Officer Specialist 138,Healthcare,Track 8,CLUSTER 18,14,10,General,65.21,68.92,23.2,81.5,68.67,0
STU005498,CAR01025,Welder Specialist 1025,Skilled Trades,Track 5,Cluster 5,14,8,General,64.53,74.26,52.7,82.4,69.38,0
STU014609,CAR01079,Teacher Specialist 1079,Skilled Trades,Track 9,Cluster 29,16,11,Commerce,81.51,65.6,81.9,96.1,74.04,1
STU025230,CAR00310,Sports Scientist Specialist 310,Business,Track 10,Cluster 10,12,7,General,81.47,62.11,52.9,78.2,69.83,0
STU016389,CAR00608,Counsellor Specialist 608,Finance,Track 8,Cluster 8,16,10,General,74.9,76.66,64.5,46.0,75.97,1
STU003697,CAR01024,Electrician Specialist 1024,Logistics & Supply Chain,Track 4,Cluster 4,12,8,General,80.82,81.66,81.7,84.8,79.16,1
STU003217,CAR01097,Hotel Manager Specialist 1097,Psychology & Social Services,Track 7,Cluster 17,14,9,General,84.01,70.28,88.5,58.9,82.06,1
STU009490,CAR00028,Microbiologist,Technology,Track 8,Cluster 28,18,12,Science-PCM,76.22,80.26,59.4,90.9,82.49,1
