Student_ID,Age,Gender,Education_Level,Current_Course,Board,School_or_College_Type,Medium_of_Instruction,District,State,Urban_or_Rural,Stream,Mathematics,Science,English,Social_Science,Second_Language,Physics,Chemistry,Biology,Computer_Science,Accountancy,Business_Studies,Economics,Statistics,History,Political_Science,Geography,Psychology,Overall_Percentage,CGPA,Current_Semester,Backlogs,Attendance,Project_Score,Logical_Reasoning,Analytical_Thinking,Numerical_Ability,Spatial_Ability,Mechanical_Aptitude,Scientific_Aptitude,Language_Aptitude,Business_Aptitude,Creative_Aptitude,Leadership_Aptitude,Observation,Memory,Critical_Thinking,Decision_Making,Learning_Ability,Communication,Leadership,Teamwork,Problem_Solving,Creativity,Time_Management,Adaptability,Confidence,Self_Learning,Emotional_Intelligence,Stress_Management,Networking_Skill,Personality_Type,Learning_Style,Risk_Taking,Work_Preference,Leadership_Style,Technology_Interest,Medicine_Interest,Business_Interest,Finance_Interest,Law_Interest,Teaching_Interest,Research_Interest,Agriculture_Interest,Arts_Interest,Design_Interest,Sports_Interest,Music_Interest,Writing_Interest,Journalism_Interest,Psychology_Interest,Environment_Interest,Hospitality_Interest,Social_Service_Interest,Defence_Interest,Robotics_Interest,Artificial_Intelligence_Interest,Animation_Interest,Entrepreneurship_Interest,Gaming_Interest,MS_Word,Excel,PowerPoint,Typing_Speed,Internet_Research,Digital_Communication,AI_Tool_Usage,Online_Collaboration,Cyber_Awareness,Programming,Python,Java,C++,SQL,Database,Networking,Cybersecurity,Cloud_Computing,Artificial_Intelligence_Skill,Machine_Learning,Data_Analysis,UI_UX,Graphic_Design,Video_Editing,Accounting,Financial_Analysis,Marketing,Patient_Care,Laboratory_Skills,Mechanical_Design,Electrical_Maintenance,Civil_Drawing,Legal_Research,Content_Writing,Scientific_Research,Agriculture_Skill,Certification_1,Certification_2,Certification_Count,Project_1,Project_2,Project_Count,Internship_Completed,Internship_Domain,Internship_Duration_Months,Industrial_Visit,Volunteer_Experience,Community_Service_Hours,Activity_1,Activity_2,Activity_3,Parent_Education,Parent_Occupation,Annual_Family_Income,First_Generation_Learner,Internet_Access,Laptop_Availability,Study_Environment,Preferred_Industry,Preferred_Location,Expected_Salary,Government_or_Private,Research_Interest_Level,Higher_Studies_Interest,Abroad_Studies_Interest,Startup_Interest,Work_Life_Balance_Preference,Recommended_Career,Academic_Performance_Score,Total_Technical_Skill_Score,Soft_Skill_Score,Digital_Literacy_Score,Domain_Skill_Score,STEM_Strength_Score,Business_Aptitude_Score,Creativity_Score,Leadership_Score,Career_Readiness_Score,Mathematics_Studied,Science_Studied,English_Studied,Social_Science_Studied,Second_Language_Studied,Physics_Studied,Chemistry_Studied,Biology_Studied,Computer_Science_Studied,Accountancy_Studied,Business_Studies_Studied,Economics_Studied,Statistics_Studied,History_Studied,Political_Science_Studied,Geography_Studied,Psychology_Studied
STU100000,15,Female,Class 10,Not Applicable,State Board,Private,English,South Delhi,Delhi,Rural,General,83.6,59.9,65.4,69.5,56.3,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,66.94,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4,3,6,2,5,1,4,3,7,7,4,9,8,5,3,2,2,5,8,5,4,7,5,5,5,4,4,Ambivert,Reading,Medium,Hybrid,Not Applicable,5,4,2,6,5,4,8,5,4,4,2,5,5,5,2,7,5,4,8,4,2,4,3,6,1,5,4,6,3,0,4,7,3,0,0,0,0,0,2,0,0,2,2,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,AWS,Oracle,2,Not Applicable,Not Applicable,0,No,Not Applicable,0,Yes,Yes,30,Coding Club,NSS,Environmental Club,Graduate,Business Owner,Below 1.5 LPA,No,Yes,No,Average,IT & Software,Abroad,298163,Private,4,5,10,5,Moderate Priority,Historian / Archivist,66.94,0.53,4.67,3.67,0.58,83.6,3.67,5.33,4.5,25.84,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
STU100001,18,Male,Diploma,Diploma in Electrical Engineering,Not Applicable,Government,Regional Language,Coimbatore,Tamil Nadu,Rural,Vocational,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,67.62,7.09,4,0,79.8,64.6,6,5,5,6,5,4,4,4,5,7,2,5,2,6,5,3,5,4,3,3,4,4,3,4,2,5,2,Ambivert,Reading,Low,Independent,Directive,5,5,2,5,4,7,5,7,4,4,5,6,5,3,5,5,4,4,10,4,3,5,2,4,5,6,7,8,2,6,7,7,3,1,3,0,1,2,0,1,0,0,0,1,0,2,0,0,3,2,0,2,1,2,2,3,1,0,0,2,Medical Certification,Google,2,Not Applicable,Not Applicable,0,Yes,Finance,1,No,Yes,5,NCC,NSS,Quiz,12th Pass,Self-Employed Professional,Below 1.5 LPA,Yes,No,No,Excellent,Legal Services,Home State,341252,Government,6,5,7,2,High Priority,Army Officer,70.9,0.73,3.5,5.67,1.5,68.05,3.67,4,6,55.84,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
STU100002,26,Female,Postgraduate,MCom,Not Applicable,Private,Regional Language,Vadodara,Gujarat,Urban,Commerce,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,67.62,5.55,4,1,100,52.1,7,4,4,3,5,6,3,4,6,8,4,6,5,8,6,6,4,4,5,4,2,6,5,6,3,6,4,Extrovert,Visual,High,Independent,Supportive,5,6,5,2,6,2,2,4,6,5,6,4,4,3,4,5,4,8,7,4,5,4,1,5,5,2,5,4,5,6,5,7,4,0,0,1,2,1,0,1,2,1,0,1,0,1,0,2,2,0,2,3,1,1,0,3,0,0,0,1,Coursera,Oracle,2,Robotics Project,Science Fair Project,2,Yes,Manufacturing,6,No,Yes,30,Environmental Club,Sports,Not Applicable,Diploma,Self-Employed Professional,6-10 LPA,No,Yes,Yes,Good,Retail & E-commerce,Abroad,964098,Private,4,5,2,5,High Priority,Police Officer,55.5,0.8,4.58,4.78,1.08,68.05,3.67,5,6,70.28,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
STU100003,22,Female,Postgraduate,MTech,Not Applicable,Government,English,Pune,Maharashtra,Rural,Science,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,67.62,7.84,3,1,83.7,90.4,4,3,5,5,5,3,3,5,4,2,9,6,4,4,8,3,2,5,2,5,2,4,4,7,3,2,4,Extrovert,Visual,Medium,Independent,Not Applicable,3,7,6,7,5,7,4,5,4,2,5,6,4,4,7,3,2,4,3,7,5,3,2,9,3,4,6,6,8,4,10,8,5,0,0,1,0,1,0,0,1,2,0,1,0,0,1,1,1,0,2,4,1,4,1,0,0,3,1,2,Google,Not Applicable,1,Machine Learning Project,Research Publication,3,No,Not Applicable,0,No,No,0,Drama,Not Applicable,Not Applicable,10th Pass,Retired,6-10 LPA,No,Yes,Yes,Good,Construction & Infrastructure,Home State,988945,Private,4,4,1,1,Moderate Priority,Nurse,78.4,0.53,3.58,6,1.58,68.05,6,3.67,2,48.33,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
STU100004,15,Female,Class 10,Not Applicable,State Board,Private,English,Vijayawada,Andhra Pradesh,Urban,General,64.2,63.1,69.4,63.6,66.8,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,65.42,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,6,4,4,5,1,4,2,8,7,3,4,2,4,3,4,3,6,4,5,5,3,5,5,5,4,4,6,Introvert,Practical,Low,Team,Not Applicable,9,3,7,2,6,5,5,7,6,4,6,2,5,5,2,7,3,6,4,6,6,3,5,4,7,2,5,3,5,4,6,0,3,0,0,0,0,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,AWS,Not Applicable,1,Not Applicable,Not Applicable,0,No,Not Applicable,0,No,Yes,0,Debate,Robotics Club,Hackathon,10th Pass,Self-Employed Professional,1.5-3 LPA,No,Yes,No,Good,Government & Public Sector,Home State,363157,Private,2,7,4,5,Moderate Priority,Digital Marketer,65.42,0.4,4.58,3.89,0.25,64.2,5.67,5.33,4.5,18.06,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
STU100005,15,Male,Class 10,Not Applicable,CBSE,Private,English,Ahmedabad,Gujarat,Urban,General,60.3,57.9,58.7,63.5,61.4,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,60.36,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2,7,4,3,3,3,4,3,7,7,3,5,7,9,4,5,5,5,5,3,3,5,3,7,5,3,4,Extrovert,Visual,Low,Hybrid,Directive,5,4,6,6,4,2,6,6,4,3,5,7,2,5,4,3,5,6,5,6,5,3,2,3,3,3,5,1,1,4,3,4,4,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,2,1,1,1,1,1,0,1,0,1,0,0,Not Applicable,Not Applicable,0,Robotics Project,Research Project,2,No,Not Applicable,0,No,No,0,NSS,Not Applicable,Not Applicable,Graduate,Daily Wage Worker,3-6 LPA,Yes,Yes,No,Average,Government & Public Sector,Metro Cities Only,399173,Government,7,5,5,3,Moderate Priority,IAS Officer,60.36,0.27,4.42,3.11,0.75,60.3,5,4.33,6,24.44,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
STU100006,19,Female,ITI,ITI Mechanic (Motor Vehicle),Not Applicable,Government,Regional Language,Vadodara,Gujarat,Urban,Vocational,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,67.62,9.11,4,0,92.1,90.2,7,5,6,4,6,7,5,4,4,5,8,4,6,6,2,5,6,3,5,3,7,4,4,6,4,5,3,Introvert,Visual,High,Hybrid,Not Applicable,5,4,6,7,5,4,6,7,6,3,3,5,5,7,4,8,3,2,2,5,3,6,1,4,4,2,5,7,5,6,3,3,4,1,1,0,1,0,0,2,0,1,2,1,1,0,3,0,0,0,4,2,1,0,2,1,0,0,0,2,AutoCAD,AWS,3,Robotics Project,Science Fair Project,2,Yes,Design,6,No,No,0,Quiz,Photography Club,Not Applicable,12th Pass,Self-Employed Professional,6-10 LPA,Yes,Yes,No,Good,IT & Software,Anywhere in India,346651,Private,4,4,5,1,High Priority,Forest Officer,91.1,0.87,4.58,4.33,1,68.05,5.67,3.33,5.5,77.49,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
STU100007,15,Male,Class 10,Not Applicable,CBSE,Government,Regional Language,North Delhi,Delhi,Rural,General,65.5,70.1,57.6,53.7,75.9,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,64.56,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,7,5,6,4,3,9,8,5,6,4,6,4,7,2,4,2,5,6,3,4,6,4,3,3,1,6,3,Extrovert,Hands-on,Low,Hybrid,Not Applicable,5,4,1,4,5,6,3,7,4,6,3,4,3,5,2,5,4,4,5,6,2,6,4,4,5,5,3,3,5,4,4,1,5,0,0,0,1,2,0,0,2,0,0,0,0,2,0,0,0,2,0,1,0,0,0,1,2,0,0,0,IBM,Medical Certification,3,Social Service Project,Not Applicable,1,No,Not Applicable,0,No,Yes,30,NCC,Coding Club,Not Applicable,Doctorate,Business Owner,3-6 LPA,Yes,No,Yes,Good,Research & Academia,Abroad,328607,Government,3,4,2,5,High Priority,Agriculture Officer,64.56,0.47,3.83,3.89,0.5,65.5,3.33,5.33,4.5,43.06,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
STU100008,16,Male,Class 10,Not Applicable,CBSE,Government,English,Pune,Maharashtra,Rural,General,88.1,64.2,67.6,75.2,65.6,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,72.14,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,7,3,4,5,4,4,4,5,5,7,6,6,6,4,4,3,6,1,4,4,6,4,3,2,3,5,Extrovert,Reading,High,Hybrid,Not Applicable,7,6,4,3,2,5,3,4,5,5,6,5,4,4,4,5,5,4,6,5,4,2,2,5,4,3,3,3,5,2,4,6,5,0,1,0,0,2,2,0,1,2,0,0,2,0,1,0,0,0,0,1,2,1,0,1,0,1,0,0,Not Applicable,Not Applicable,0,Robotics Project,Not Applicable,1,No,Not Applicable,0,Yes,No,0,NCC,Art Club,Environmental Club,12th Pass,Self-Employed Professional,Below 1.5 LPA,No,Yes,No,Good,Research & Academia,Abroad,150000,Government,5,4,3,2,High Priority,Cybersecurity Analyst,72.14,0.73,3.75,3.89,0.5,88.1,3.67,4.67,4,18.06,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
STU100009,17,Female,Diploma,Diploma in Fashion Design,Not Applicable,Aided,English,Kanpur,Uttar Pradesh,Urban,Vocational,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,Not Studied,67.62,6.56,4,0,81.1,69.1,4,3,4,6,6,5,7,2,5,7,6,4,6,4,8,3,4,5,4,6,7,6,4,3,4,3,5,Introvert,Hands-on,Low,Hybrid,Not Applicable,7,5,3,4,6,8,5,6,7,3,3,2,5,4,3,3,6,4,4,6,3,3,1,4,6,5,5,5,5,4,8,7,3,0,0,1,2,2,2,2,2,1,1,0,0,0,3,0,0,3,1,1,3,2,2,1,2,2,2,3,Not Applicable,Not Applicable,0,Robotics Project,Machine Learning Project,3,Yes,Finance,1,Yes,No,0,Robotics Club,Not Applicable,Not Applicable,Graduate,Private Employee,3-6 LPA,Yes,Yes,Yes,Good,Hospitality & Tourism,Home State,548911,Private,4,6,6,5,High Priority,Teacher,65.6,1.07,4.5,5.33,1.83,68.05,3,4.67,5.5,63.32,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
