Student_ID,Age,Gender,Education_Level,Stream,Specialization,Attendance_Percentage,CGPA,Semester_Marks_Percent,Internal_Marks,Practical_Marks,Project_Score,Lab_Score,Assignment_Score,Competition_Participation_Count,Olympiad_Participation,Hackathons_Count,Internships_Count,Research_Experience,Volunteer_Activities,Club_Activities,Leadership,Communication,Confidence,Creativity,Problem_Solving,Critical_Thinking,Adaptability,Teamwork,Decision_Making,Time_Management,Curiosity,Analytical_Thinking,Stress_Management,Self_Learning,Persistence,Interests,Skills,Certifications,Recommended_Career
STU100000,18,Male,Undergraduate,BEd,Education,84.2,8.84,91.3,88.9,100,76.3,99.9,89.9,2,No,0,0,Yes,No,No,4,6,4,6,7,10,7,7,6,6,8,7,6,5,6,Child Psychology,Classroom Management:Advanced|Lesson Planning:Advanced|Assessment Design:Advanced|Special Needs Education:Advanced|Curriculum Development:Intermediate|Mentoring:Expert|Online Teaching Tools:Expert|Child Psychology Basics:Expert|Presentation Skills:Advanced|Conflict Resolution:Advanced|Problem Solving:Intermediate|Adaptability:Beginner|Time Management:Advanced,Certificate in Teaching (CTET Qualified)|Montessori Teacher Training Certificate,School Teacher
STU100001,18,Female,Undergraduate,BTech/BE,Artificial Intelligence,87.2,8.31,78.2,80.9,68.4,83.6,65.6,79.9,3,No,3,1,No,Yes,Yes,5,5,4,7,7,6,5,4,4,6,5,5,6,7,6,Cruise and Aviation Hospitality|Internet of Things|Computer Networking,Data Structures and Algorithms:Advanced|Flask:Expert|Bash Scripting:Advanced|HTML:Intermediate|Django:Advanced|Data Visualization:Intermediate|C++:Intermediate|REST APIs:Advanced|Confluence:Intermediate|Terraform:Beginner|Persuasion:Intermediate|Problem Solving:Intermediate,HackerRank Problem Solving Certificate|Docker Certified Associate,Cyber Security Analyst
STU100002,13,Female,Class 7,General,NA,75.7,8.96,71.8,,69.4,70.3,,73.1,1,No,0,,,Yes,Yes,7,7,7,5,8,4,7,9,4,5,6,5,4,6,4,Languages,None,None,Chemical Engineer
STU100003,19,Male,Diploma,Diploma Paramedical,Radiology Technology,90.2,8.1,73.9,67.7,86.5,86.1,100,70.7,4,No,0,,No,No,No,7,8,7,8,7,5,8,8,7,5,5,5,7,8,7,Mental Health|Alternative Medicine|Human Anatomy,Pharmacology Knowledge:Expert|Medical Terminology:Intermediate|Patient Counselling:Advanced|Nutrition Planning:Intermediate|Physiotherapy Techniques:Intermediate|Scientific Writing:Expert|Time Management:Intermediate|Cultural Sensitivity:Expert|Decision Making:Advanced|Ethical Reasoning:Expert|Teamwork:Advanced,None,Medical Lab Technician
STU100004,15,Female,Higher Secondary,Humanities,"Psychology, Sociology, English",78.8,7.39,,,88.2,73.6,80,89.3,3,No,0,,No,No,No,5,8,7,8,8,5,8,8,6,7,7,7,8,8,7,Reading|Philosophy|Political Science|Writing|Poetry|Space Exploration|Psychology|Sociology|Culture and Heritage,Screenwriting:Expert|Copyediting:Expert|Academic Writing:Advanced|Archival Research:Advanced|Creative Writing:Intermediate|Ghostwriting:Intermediate|Presentation Skills:Advanced|Problem Solving:Intermediate,None,Teacher
STU100005,21,Female,Postgraduate,MSc,Environmental Science,74.9,,75.1,78.2,72,87.4,71.1,76.7,5,No,0,1,No,No,Yes,7,7,10,8,8,8,6,9,10,8,10,6,10,7,6,Wildlife|Geology|Biology|Environment,Seismology Basics:Expert|Resilience:Expert|Persuasion:Advanced|Presentation Skills:Advanced|Leadership:Intermediate|Time Management:Advanced,None,Geologist
STU100006,24,Male,Postgraduate,MEd,Education,77,8.68,86.9,87,97,80.4,99.8,83.7,5,No,1,2,No,No,Yes,7,7,8,9,7,7,7,9,9,8,8,7,9,8,7,Child Psychology|Special Education|Curriculum Design|Public Education Policy|Mentoring|Teaching,Classroom Management:Intermediate|Lesson Planning:Advanced|Assessment Design:Advanced|Special Needs Education:Expert|Mentoring:Expert|Child Psychology Basics:Advanced|Online Teaching Tools:Advanced|Emotional Intelligence:Advanced|Adaptability:Advanced|Stress Management:Expert|Cultural Sensitivity:Advanced,Coursera - Foundations of Teaching for Learning|Montessori Teacher Training Certificate,Early Childhood Educator
STU100007,17,Male,Diploma,Diploma Engineering,Electrical Engineering,84.4,8.03,98,94.4,,72.7,100,93.8,3,No,0,,No,No,Yes,7,6,6,7,7,6,6,7,5,5,6,7,7,9,8,Mechatronics|Manufacturing|Structural Design|CAD Modelling|Power Systems|Industrial Automation|3D Printing,CATIA:Advanced|Adaptability:Advanced|Communication:Intermediate|Stress Management:Advanced,PLC Programming Certificate (Siemens/Allen Bradley),Civil Engineer
STU100008,23,Female,Undergraduate,BSc Paramedical,Paramedical Science,85.8,6.95,76.6,83.7,86.1,,,72.5,4,No,0,2,No,No,No,6,7,4,7,6,4,7,3,3,6,6,7,7,8,7,Food Processing|Mental Health|Alternative Medicine|Animal Care,Pharmacology Knowledge:Intermediate|Laboratory Techniques:Advanced|Vaccination Administration:Intermediate|Surgical Assistance:Advanced|Electronic Health Records:Intermediate|Telemedicine Tools:Advanced|Resilience:Intermediate|Time Management:Intermediate|Cultural Sensitivity:Intermediate|Adaptability:Beginner|Creativity:Beginner,None,Nurse
STU100009,24,Male,Postgraduate,MBA,Finance,84.4,7.5,79.6,73.6,86.5,84.2,74.3,89.3,4,No,0,1,No,No,Yes,5,7,8,5,7,7,4,4,3,6,7,8,6,8,4,Entrepreneurship,QuickBooks:Beginner|Social Media Marketing:Advanced|Accounting (Tally):Advanced|Inventory Management:Advanced|Content Marketing:Beginner|Digital Marketing:Advanced|Cold Calling:Intermediate|Sales:Advanced|Auditing:Advanced|Franchise Management:Intermediate|Decision Making:Intermediate|Self Learning:Beginner|Emotional Intelligence:Intermediate|Resilience:Advanced,None,Bank PO/Clerk
STU100010,20,Female,Undergraduate,BA,Journalism and Mass Communication,79,6.84,65.8,,55.4,72.4,58.1,78.1,2,No,0,1,No,No,Yes,5,5,3,7,4,6,7,4,6,8,2,5,4,5,6,Video Editing|Content Writing|Social Media|Public Relations|Sports|Blogging,Social Media Management:Intermediate|Copywriting:Intermediate|Content Writing:Intermediate|Media Ethics:Intermediate|Broadcast Journalism:Advanced|Video Production:Advanced|Photography:Advanced|Podcast Production:Advanced|Active Listening:Beginner|Time Management:Intermediate|Communication:Expert|Self Learning:Advanced,None,Social Media Manager
STU100011,21,Male,Undergraduate,BSc,Biotechnology,79.7,6.37,,68.3,52.1,62.1,47.2,,2,No,0,3,No,No,Yes,4,6,4,5,6,3,6,4,6,4,3,3,5,5,4,Nanotechnology|Meteorology|Wildlife,Field Research:Advanced|Microscopy:Beginner|Bioinformatics Tools:Intermediate|Seismology Basics:Beginner|Spectroscopy:Intermediate|Environmental Monitoring:Intermediate|Laboratory Skills:Intermediate|Climate Modelling:Intermediate|Scientific Writing:Advanced|Instrumentation:Intermediate|Emotional Intelligence:Intermediate|Self Learning:Beginner|Conflict Resolution:Intermediate|Delegation:Advanced|Persuasion:Beginner,None,AI Engineer
STU100012,23,Male,Undergraduate,BPharm,Pharmacy,83.2,7.41,72.7,80,72.8,76.4,69.9,82.1,3,No,0,1,No,No,No,3,5,5,7,6,5,6,2,6,6,3,7,6,5,6,Alternative Medicine|Fitness and Wellness,Pharmacology Knowledge:Expert|Nutrition Planning:Intermediate|Emergency Response:Advanced|Medical Coding:Intermediate|Vaccination Administration:Intermediate|Ayurvedic Treatment Knowledge:Advanced|Genetic Analysis:Intermediate|Persuasion:Intermediate|Leadership:Beginner|Stress Management:Intermediate|Communication:Intermediate,NPTEL - Biomedical Instrumentation|Advanced Cardiac Life Support (ACLS),Ayurvedic Doctor
STU100013,21,Male,Professional Degree,Professional Degree,Company Secretary (CS),75.4,7.31,75.5,74.6,91.8,78.9,95.4,57.3,2,No,0,1,Yes,No,No,8,6,7,6,6,5,6,8,8,8,5,4,6,6,7,Animation|Supply Chain|Banking|Entrepreneurship,Financial Analysis:Beginner|SEM:Expert|Google Ads:Intermediate|Inventory Management:Intermediate|Warehouse Management:Intermediate|Business Valuation:Beginner|Salesforce CRM:Advanced|Taxation Knowledge:Advanced|Time Management:Beginner|Innovation Mindset:Beginner|Creativity:Intermediate|Critical Thinking:Advanced|Emotional Intelligence:Intermediate,None,Hotel Manager
STU100014,20,Male,Undergraduate,BEd,Education,79.9,5.63,70.4,75,56.2,70,52.2,71.4,1,No,0,0,No,No,Yes,4,5,8,3,6,1,2,3,3,5,5,4,4,5,6,Child Psychology|Special Education|Curriculum Design|Public Education Policy|Mentoring|Teaching,Classroom Management:Beginner|Lesson Planning:Intermediate|Assessment Design:Intermediate|Special Needs Education:Intermediate|Curriculum Development:Beginner|Child Psychology Basics:Intermediate|Online Teaching Tools:Intermediate|Mentoring:Beginner|Leadership:Beginner|Resilience:Intermediate|Self Learning:Beginner|Conflict Resolution:Intermediate,Certificate in Teaching (CTET Qualified),School Teacher
STU100015,23,Male,Undergraduate,BTTM,Tourism and Travel Management,86.8,7.54,63.2,63.6,73.4,65.4,68.5,67.6,2,No,0,1,Yes,No,Yes,3,7,2,7,5,5,4,6,5,6,5,5,5,5,5,Travel|Cooking|Hotel Management,Hotel Front Office Operations:Beginner|Event Planning:Beginner|Customer Service:Advanced|Housekeeping Management:Intermediate|Baking:Intermediate|Travel Itinerary Planning:Intermediate|Food and Beverage Service:Intermediate|Cooking:Intermediate|Resilience:Beginner|Self Learning:Intermediate|Persuasion:Beginner,Certificate in Event Management|Certificate in Hotel Management (IHM),Cabin Crew
STU100016,24,Male,Undergraduate,BEd,Education,92.6,9.58,85,69.4,84.4,84.3,,76.8,2,No,0,1,No,Yes,No,4,7,6,5,7,5,6,10,6,8,5,6,9,5,9,Special Education|Mentoring|Teaching,Classroom Management:Advanced|Curriculum Development:Intermediate|Mentoring:Advanced|Adaptability:Advanced|Creativity:Advanced|Decision Making:Beginner|Networking (Professional):Intermediate,Coursera - Foundations of Teaching for Learning|NPTEL - Educational Technology|Montessori Teacher Training Certificate,Lawyer/Advocate
STU100017,21,Male,Diploma,Diploma Design,Interior Design,91.8,7.83,79.6,89.1,86.2,81.3,79.8,85.3,0,No,0,,No,No,Yes,6,5,7,6,5,7,4,6,4,7,5,6,6,3,5,Fashion|Graphic Design|Aviation (Piloting)|Interior Design|Animation|Sculpting,Procreate:Advanced|Adobe Illustrator:Advanced|Stop Motion Animation:Advanced|Rhino 3D:Intermediate|Sketching:Advanced|Figma:Advanced|Creativity:Intermediate|Communication:Advanced|Presentation Skills:Intermediate|Ethical Reasoning:Intermediate|Problem Solving:Beginner,Certificate in Fashion Designing (NIFT Extension)|Autodesk Certified User - Maya|Canva Design Certification|Coursera - Graphic Design Specialization|Autodesk Certified User - 3ds Max,Video Editor
STU100018,23,Male,Undergraduate,BCom,Accounting and Finance,80.6,6.39,62.7,53.8,66.9,89.1,67.8,,1,No,1,2,No,No,No,6,4,6,5,5,6,5,5,5,5,4,7,7,6,5,Real Estate|Business Strategy|Stock Market|Economics|Insurance|E-commerce|Marketing,Brand Management:Intermediate|Communication:Intermediate|Delegation:Expert,NPTEL - Business Analytics,Business Development Executive
STU100019,21,Male,Diploma,Diploma Hospitality,Hotel Management,81.6,,83.3,,,76.6,88.2,93.9,1,No,0,,No,No,No,2,6,8,7,9,5,5,7,7,7,8,7,7,8,7,Event Management|Hotel Management|Cruise and Aviation Hospitality|Tourism|Baking|Travel|Cooking,Food and Beverage Service:Expert|Baking:Expert|Customer Service:Expert|Problem Solving:Intermediate|Self Learning:Advanced|Persuasion:Advanced,None,Cabin Crew
STU100020,19,Female,Undergraduate,BTech/BE,Cyber Security,84.7,6.95,68.3,75.6,,77.7,76.8,67.7,3,No,2,2,Yes,No,Yes,7,4,5,4,7,3,5,6,7,5,5,8,3,2,6,Cloud Computing|Game Development|Programming|Machine Learning|Ethical Hacking|Embedded Systems,MLOps:Intermediate|Kotlin:Beginner|Presentation Skills:Intermediate|Communication:Intermediate|Cultural Sensitivity:Beginner,None,Robotics Engineer
STU100021,18,Female,Higher Secondary,Humanities,"History, Political Science, Economics",74.2,7.64,78.1,80.3,,68.1,82.9,82.4,2,Yes,0,,No,Yes,No,5,7,7,6,7,5,6,7,6,4,6,6,5,4,5,Psychology|Sociology|Philosophy|Dance,Academic Writing:Intermediate|Policy Analysis:Advanced|Archival Research:Beginner|Sign Language:Advanced|Editing and Proofreading:Intermediate|Foreign Languages:Advanced|Resilience:Intermediate|Cultural Sensitivity:Intermediate|Creativity:Intermediate|Emotional Intelligence:Intermediate,None,Political Analyst
STU100022,22,Male,Undergraduate,BA,History,85.8,7.47,66.4,61.4,62.5,,64.9,67.8,0,No,0,0,No,No,Yes,2,4,4,5,3,6,5,4,4,5,4,7,5,5,5,Oceanography|Psychology|Languages|History|Culture and Heritage,Screenwriting:Beginner|Qualitative Research:Advanced|Foreign Languages:Intermediate|Archival Research:Advanced|Translation:Intermediate|Sign Language:Advanced|Creative Writing:Intermediate|Historical Research:Expert|Stress Management:Beginner|Innovation Mindset:Intermediate|Ethical Reasoning:Beginner,None,Firefighter
STU100023,22,Female,Undergraduate,BSc Agriculture,Agriculture,82.4,9.45,85.7,,93.1,62.5,83.8,,2,No,0,1,Yes,No,Yes,6,7,8,5,7,5,5,7,6,3,7,7,5,6,6,Horticulture|Fisheries,Pesticide Management:Advanced|Soil Testing:Intermediate|Livestock Management:Intermediate|Crop Management:Intermediate|Precision Farming Tools:Advanced|Farm Equipment Operation:Advanced|Emotional Intelligence:Intermediate|Adaptability:Advanced,NPTEL - Precision Agriculture|Certificate in Organic Farming,Agricultural Officer
STU100024,21,Male,Undergraduate,BA,English,66,6.89,49.3,50.8,55.6,41.1,57.1,37.4,2,No,0,0,No,No,No,5,5,5,3,4,5,3,4,3,3,3,3,3,2,3,Reading|Philosophy|Fisheries|Anthropology|Psychology|Literature|Sociology|Culture and Heritage,Counselling Techniques:Intermediate|Public Speaking:Beginner|Debate:Beginner|Sign Language:Beginner|Historical Research:Intermediate|Ghostwriting:Beginner|Decision Making:Intermediate|Innovation Mindset:Beginner,None,Social Worker
STU100025,22,Male,Undergraduate,BTech/BE,Agricultural Engineering,98.7,8.52,95.1,,100,96.7,100,98.2,4,No,1,1,Yes,No,No,7,10,7,8,9,8,8,10,9,8,6,7,9,9,9,Organic Farming|Fisheries|Forestry|Farming|Food Processing|Rural Development|Horticulture|Agri-Technology,Pesticide Management:Expert|Soil Testing:Expert|Crop Management:Expert|Food Safety:Expert|Precision Farming Tools:Advanced|Adaptability:Intermediate|Problem Solving:Intermediate,ICAR Certified Farm Advisor|Certificate in Organic Farming|NPTEL - Precision Agriculture,Agricultural Officer
STU100026,21,Female,Undergraduate,BA,History,96.5,8.46,100,,100,76.4,98.5,100,3,No,0,0,No,No,Yes,8,8,8,8,7,6,7,5,7,6,6,8,9,9,5,Psychology|Public Speaking|Languages|Ethical Hacking,Screenwriting:Advanced|Scriptwriting:Expert|Historical Research:Advanced|Museum Curation:Advanced|Public Speaking:Expert|Academic Writing:Advanced|Policy Analysis:Expert|Creative Writing:Advanced|Foreign Languages:Advanced|Ghostwriting:Expert|Ethical Reasoning:Intermediate|Innovation Mindset:Expert|Leadership:Advanced|Active Listening:Expert|Persuasion:Advanced,NPTEL - Indian History and Culture,Counsellor
STU100027,19,Female,Diploma,Diploma Engineering,Civil Engineering,88.7,9.37,84.3,81,74.9,100,,85.3,3,No,0,,No,Yes,Yes,10,6,8,6,7,8,9,9,5,8,9,5,8,7,8,Electronics|Drones|Structural Design|CAD Modelling|Industrial Automation|3D Printing|Automobiles,Power Electronics:Advanced|Ethical Reasoning:Intermediate|Resilience:Intermediate|Time Management:Expert|Problem Solving:Expert,None,Fleet Manager
STU100028,22,Male,Undergraduate,BTech/BE,Cyber Security,98.6,7.97,76.3,68.3,68,81.9,66.1,68.9,2,No,4,1,No,No,No,8,7,7,7,5,7,5,6,5,6,8,8,7,5,6,Cloud Computing|Web Development|App Development|Data Science|Robotics|Psychology|Open Source Contribution,TypeScript:Expert|Cyber Security Fundamentals:Advanced|Power BI:Expert|REST APIs:Advanced|Time Management:Advanced|Stress Management:Intermediate,HackerRank Problem Solving Certificate|AWS Certified Developer - Associate|Postman API Fundamentals Certification,Software Engineer
STU100029,23,Female,Undergraduate,BSc Paramedical,Paramedical Science,74,6.5,64.1,68.1,52.4,89.9,52.1,65.8,3,No,0,0,No,No,No,5,6,6,4,5,3,5,4,7,5,5,5,5,8,5,Fitness and Wellness|Pharmacology|Architecture|Animal Care,Laboratory Techniques:Intermediate|Anatomy Knowledge:Advanced|Decision Making:Beginner|Creativity:Intermediate|Conflict Resolution:Beginner|Presentation Skills:Beginner|Emotional Intelligence:Intermediate,None,Physiotherapist
STU100030,17,Female,ITI,ITI,Electrician,84.7,,65.9,59.2,81.7,89.6,88.3,64.8,2,No,0,0,No,No,Yes,6,5,6,5,4,7,7,9,5,6,6,7,5,5,8,N/A,Welding Techniques:Advanced|Plumbing:Advanced|Tailoring and Stitching:Advanced|Presentation Skills:Intermediate|Delegation:Intermediate|Creativity:Intermediate,Skill India Certified - Electrician|Skill India Certified - Welder,Automobile Mechanic
STU100031,23,Male,Undergraduate,BTech/BE,Mechanical Engineering,76,7.86,56.2,60.6,66,68.2,54.6,37.3,6,Yes,1,0,No,No,No,6,7,8,8,6,7,5,6,4,6,6,8,6,6,6,Electronics|Renewable Energy|Drones|Structural Design|Power Systems|Industrial Automation,CNC Programming:Intermediate|Quality Control:Intermediate|Estimation and Costing:Expert|Circuit Design:Intermediate|Decision Making:Beginner|Cultural Sensitivity:Advanced|Presentation Skills:Advanced|Ethical Reasoning:Intermediate,None,Civil Engineer
STU100032,23,Male,Undergraduate,BPEd,Physical Education,92.3,8.23,79.8,68.9,89.9,71,98,95.6,0,No,1,0,Yes,No,No,6,6,8,6,6,7,5,5,4,3,8,4,5,5,6,,Sports Injury Management:Advanced|Fitness Training:Advanced|Conflict Resolution:Intermediate|Self Learning:Intermediate,None,Sports Physiotherapist
STU100033,19,Female,Undergraduate,BA,Journalism and Mass Communication,94.5,7.98,84,82.5,92,79.6,91.2,92.4,2,No,0,1,No,No,No,4,6,9,7,7,7,5,7,6,6,7,5,8,6,7,Content Writing|Social Media|Public Relations|Blogging|Broadcasting|Journalism,Social Media Management:Intermediate|Problem Solving:Advanced|Adaptability:Expert|Presentation Skills:Intermediate|Decision Making:Intermediate,Google News Initiative Certification|Coursera - Podcasting Specialization,Social Media Manager
STU100034,15,Female,Higher Secondary,Science,"Physics, Chemistry, Biology (PCB)",,6.45,56.2,41.6,64.7,48.3,79,58.7,0,Yes,0,,No,Yes,No,,,,,,,,,,,,,,,,Human Anatomy,Dental Procedures:Advanced|Blood Bank Procedures:Advanced|Vaccination Administration:Beginner|Communication:Intermediate|Self Learning:Beginner,None,Physiotherapist
STU100035,20,Male,Undergraduate,BA,Sociology,80.9,,81.2,79.3,100,75.6,94.3,85.5,2,No,0,0,Yes,No,Yes,5,6,3,5,7,5,5,6,5,7,4,5,5,5,1,Archaeology|Reading|Public Speaking|Nutrition and Diet|Anthropology|Psychology|Literature|Culture and Heritage,Museum Curation:Intermediate|Scriptwriting:Advanced|Policy Analysis:Advanced|Ghostwriting:Advanced|Communication:Beginner|Conflict Resolution:Intermediate|Problem Solving:Beginner,Certificate in Public Policy (Takshashila)|Certificate in Creative Writing (British Council),Teacher
STU100036,24,Male,Undergraduate,BDes,Animation,74.2,7.52,65,56.2,75.6,63.8,76,47.6,1,No,0,3,No,No,No,4,3,4,6,3,6,3,6,5,3,7,4,4,5,7,Crafts|Product Design|Sculpting,Procreate:Beginner|Video Editing:Intermediate|Adobe Illustrator:Advanced|DaVinci Resolve:Advanced|Colour Theory:Intermediate|Stop Motion Animation:Intermediate|Pattern Making:Intermediate|Set Design:Intermediate|Active Listening:Beginner|Presentation Skills:Beginner|Critical Thinking:Intermediate,None,Architect
STU100037,28,Female,Postgraduate,MCom,Advanced Accounting,100,7.62,74.1,81.5,73.6,83.7,74.1,66.8,3,No,0,2,Yes,No,No,7,7,7,6,7,8,6,7,8,7,9,6,4,7,7,Taxation|Economics|Entrepreneurship|Digital Marketing|Retail,Financial Analysis:Expert|Auditing:Expert|Budgeting:Expert|Cold Calling:Expert|Vendor Management:Advanced|Content Marketing:Intermediate|Networking (Professional):Advanced|Emotional Intelligence:Expert|Presentation Skills:Advanced,HubSpot Inbound Marketing Certification|QuickBooks Certified User|Zoho Finance Certification|PMI Certified Associate in Project Management (CAPM)|Certified Financial Planner (CFP),Accountant
