Feature,Mean_|SHAP|_Value
composite_alignment_index,6.0437474
learning_match_component,1.7067356
academic_match_component,1.6411986
ability_interest_synergy,1.4971918
ability_match_component,0.79335225
harmonic_core_match,0.6478871
max_core_match,0.2717115
career_domain,0.04759009
min_core_match,0.037816565
interest_match_component,0.013862662
ability_interest_gap,0.009499294
career_name,0.0057689096
career_cluster,0.0029273941
age,0.0018534859
career_subdomain,0.0017956855
stream,0.001201914
class,0.0009920262
