feature,importance_percentage
composite_alignment_index,23.294912899689304
career_domain,13.061370085973593
holistic_synergy,9.034059481208887
academic_match_component,5.610236912506184
career_name,5.01987571379071
learning_match_component,4.951217109793942
ability_interest_gap,4.674380993412078
max_core_match,4.515489774643757
ability_match_component,3.7839090920740954
min_core_match,3.7680947956875217
interest_match_component,3.647095876265908
career_cluster,3.4977653720830193
career_subdomain,2.941157660399857
harmonic_core_match,2.9211671554861467
geometric_core_synergy,2.588905601056277
ability_interest_synergy,2.0395736322563045
age,1.8476431490197804
stream,1.635328309396149
class,1.1678163852565024
