dataset,column,missing_count,missing_percentage
Career_Knowledge_RAW,required_mathematical_ability,24,1.99
Career_Knowledge_RAW,required_logical_reasoning,23,1.91
Career_Knowledge_RAW,required_scientific_thinking,23,1.91
Career_Knowledge_RAW,required_problem_solving,24,1.99
Career_Knowledge_RAW,required_analytical_thinking,12,1.0
Career_Knowledge_RAW,required_communication,24,1.99
Career_Knowledge_RAW,required_creativity,12,1.0
Career_Knowledge_RAW,required_digital_ability,12,1.0
Career_Knowledge_RAW,required_spatial_ability,12,1.0
Career_Knowledge_RAW,required_practical_ability,12,1.0
Career_Knowledge_RAW,required_learning_ability,12,1.0
Career_Knowledge_RAW,required_technology_interest,12,1.0
Career_Knowledge_RAW,required_engineering_interest,12,1.0
Career_Knowledge_RAW,required_healthcare_interest,12,1.0
Career_Knowledge_RAW,required_business_interest,12,1.0
Career_Knowledge_RAW,required_finance_interest,12,1.0
Career_Knowledge_RAW,required_arts_interest,12,1.0
Career_Knowledge_RAW,required_design_interest,12,1.0
Career_Knowledge_RAW,required_research_interest,12,1.0
Career_Knowledge_RAW,required_environment_interest,12,1.0
Career_Knowledge_RAW,required_agriculture_interest,12,1.0
Student_Career_Compatibility_RAW,career_subdomain,200,0.4
Student_Career_Compatibility_RAW,career_cluster,200,0.4
Student_Career_Compatibility_RAW,stream,600,1.2
